id,route,component,file,line,trigger,frequency,purpose,tool,properties,duration,easing,interruptible,reducedMotion,pointerGated,cleanup,existingTest,status,notes
"M001","/|/en|/software|/en/software","PublicSiteChrome content wrapper","src/components/public-site-chrome.tsx; src/app/globals.css","70; 1956-1958; 5428-5436","document navigation and initial mount","high","legacy page entrance","CSS keyframes","opacity, transform","450ms","ease","NO_RESTARTS_ON_REMOUNT","YES animation disabled","N/A","N/A","production-visual-regression.test.ts","REMOVE_CANDIDATE","Formal routes inherit legacy page motion; home moves 10px."
"M002","/software|/en/software","software page fade override","src/styles/redesign/software.css","7-8; 444-451","document navigation and initial mount","high","avoid transformed containing block while retaining fade","CSS keyframes","opacity","450ms inherited","ease inherited","NO_RESTARTS_ON_REMOUNT","YES via global fade rule","N/A","N/A","software-responsive.test.ts","REMOVE_CANDIDATE","Opacity-only protection is tested; the inherited 450ms entrance itself is not approved."
"M003","/|/en|/software|/en/software","global reduced-motion fade override","src/app/globals.css","4593-4597","prefers-reduced-motion","preference","remove page entrance","CSS media query","animation","0ms","N/A","YES","YES","N/A","N/A","home-reviews.test.ts; R4 browser evidence","KEEP","Correctly removes inherited fade for reduced-motion users."
"M004","public layouts","legacy background/cursor/glow boundary","src/app/(zh-public)/layout.tsx; src/app/en/layout.tsx; src/app/root-layout-shared.tsx","11; 24; 65","public document render","always","exclude old decorative motion","React layout flag","legacy effects absent","N/A","N/A","N/A","N/A","N/A","N/A","production-wiring.test.ts","SETTLED_BY_CONTRACT","Interactive background, cursor glow and border glow stay disabled on formal public layouts."
"M005","desktop public routes","AI Skill dropdown","src/components/redesign/enhe-redesign-header.tsx; src/styles/redesign/shell.css","43-54; 297-310","details open or close","medium","show trigger-anchored choices","native details and CSS","display/position","0ms","N/A","N/A","PARTIAL header reduced rule","NO","native","public-shell-candidate.test.ts","MISSING_MOTION","Occasional anchored panel has no origin or exit continuity."
"M006","desktop authenticated public routes","account menu","src/components/redesign/enhe-redesign-header.tsx; src/styles/redesign/shell.css","72-82; 393-405","details open or close","low","show account choices","native details and CSS","display/position","0ms","N/A","N/A","PARTIAL header reduced rule","NO","native","production-wiring.test.ts","MISSING_MOTION","Permission judgment remains server-side and is not an animation target."
"M007","mobile public routes","mobile navigation drawer","src/components/redesign/enhe-redesign-mobile-menu.tsx; src/styles/redesign/shell.css","100-104; 470-489","menu button open or close","medium","show spatial navigation layer","React conditional render and CSS","overlay opacity is static; drawer position is final","0ms","N/A","NO_EXIT_STATE","PARTIAL header reduced rule","NO","listener and body overflow cleanup YES","public-shell-candidate.test.ts; mobile-support-trigger.spec.ts","MISSING_MOTION","Overlay and drawer mount at final state; focus must remain immediate."
"M008","mobile public routes","mobile navigation focus lifecycle","src/components/redesign/enhe-redesign-mobile-menu.tsx","28-73","open, Escape, Tab, close","medium","focus trap and return","React effect and requestAnimationFrame","focus and body overflow","instant","N/A","YES","N/A","N/A","YES","public-shell-candidate.test.ts; mobile-support-trigger.spec.ts","SETTLED_BY_CONTRACT","requestAnimationFrame schedules focus return; it is not visual animation."
"M009","public routes","primary navigation links","src/components/redesign/enhe-redesign-header.tsx; src/styles/redesign/shell.css","40-61; 336-340","click or Enter","high","navigate","native link and CSS hover","color","instant","N/A","YES","YES header rule","hover only","native","production-wiring.test.ts","KEEP","Route response should stay instant; only optional micro feedback is eligible."
"M010","public routes","language switch","src/components/redesign/enhe-redesign-language-switch.tsx","13-31","click or Enter","medium","change locale route","native link","route navigation","instant","N/A","YES","YES header rule","hover only","native","public-shell-candidate.test.ts; production-wiring.test.ts","KEEP","No locale-route transition should be added."
"M011","all formal routes","customer support launcher hover","src/components/customer-support-widget.tsx; src/styles/redesign/shell.css","379; 78-101","hover","medium","pointer affordance","Tailwind transition","border-color, transform translateY(-2px)","Tailwind default","Tailwind default","YES","NO explicit support override","hover gated by Tailwind but no pointer:fine source gate","N/A","customer-support-widget-source.test.ts","REVIEW","Transform is disabled only below 484px; never animate fixed position or exclusion geometry."
"M012","all formal routes","customer support dialog","src/components/customer-support-widget.tsx","187-195; 367-380","launcher open or dialog close","low","reveal support task surface","React conditional render","mount/unmount","0ms","N/A","NO_EXIT_STATE","NO explicit dialog motion rule","N/A","focus cleanup YES","mobile-support-trigger.spec.ts","MISSING_MOTION","Any future motion must leave launcher position, 44x44 size and 483/484 boundary untouched."
"M013","all formal routes","support FAQ and form views","src/components/customer-support-widget.tsx","119-143; 214-365","FAQ, back, form or submit state","low","preserve task context","React conditional render","content replacement","0ms","N/A","NO","NO explicit rule","N/A","focus rescheduled YES","customer-support-widget-source.test.ts","MISSING_MOTION","Focus restoration is present; visual continuity is absent."
"M014","all formal routes","support submitting indicator","src/components/customer-support-widget.tsx","296-306","form submitting","rare","communicate ongoing work","Tailwind animate-spin","rotate","continuous while submitting","linear","YES when state ends","NO explicit motion-reduce variant","N/A","state bounded","customer-support-widget-source.test.ts","KEEP","Functional status animation may stay; a reduced-motion static alternative should be considered."
"M015","all formal routes","support exclusion geometry","src/styles/redesign/shell.css","27-38; 62-105","layout and viewport boundary","always","prevent collisions","static CSS tokens/media queries","margin/padding reserve and fixed position","instant","N/A","N/A","N/A","N/A","N/A","customer-support-widget-source.test.ts; mobile-support-trigger.spec.ts","SETTLED_BY_CONTRACT","44x44, 52/104px reserve and 483/484 boundary are locked and non-animatable."
"M016","/|/en","home product controls and index update","src/components/redesign/home/EnheRedesignProductShowcase.tsx","73-87; 114-160","button or ArrowLeft/ArrowRight","medium","switch product","React state","index/content state","instant input response","N/A","YES","manual controls remain","NO","N/A","home-products.test.ts","KEEP","Input response is immediate; approved visual settling may not delay it."
"M017","/|/en","product media loading state","src/styles/redesign/home.css","282-295","image load after product change","medium","mask media loading","CSS transition","opacity, scale","180ms","ease","YES","NO product-media override","NO","native image lifecycle","home-products.test.ts","REVIEW","This is loading feedback, not the approved 300ms whole-product transition."
"M018","/|/en","product counter, title, description and detail","src/components/redesign/home/EnheRedesignProductShowcase.tsx","69-76; 102-155","product index change","medium","maintain product-state continuity","React state","text and keyed image replacement","0ms","N/A","NO","N/A","N/A","N/A","home-products.test.ts","MISSING_MOTION","Locked 300ms product transition is not implemented across the complete state."
"M019","/|/en","product autoplay boundary","src/components/redesign/home/EnheRedesignProductShowcase.tsx","65-88","none","always","keep product browsing user-driven","absence of timer","none","N/A","N/A","N/A","YES","N/A","N/A","home-products.test.ts","SETTLED_BY_CONTRACT","No product setInterval, setTimeout or autoplay."
"M020","/|/en","review automatic interval","src/components/redesign/home/EnheRedesignExperienceReviews.tsx","115-129","timer","5000ms","advance reviews","window.setInterval","review index","5000ms interval","N/A","YES","disabled when reduced motion","N/A","clearInterval YES","home-reviews.test.ts","SETTLED_BY_CONTRACT","Approved interval value is correct."
"M021","/|/en","review pause and manual resume lifecycle","src/components/redesign/home/EnheRedesignExperienceReviews.tsx","93-147; 149-243","hover, focus, pointer, visibility, manual input","mixed","control automatic rotation","timer/listener lifecycle","timer state","6000ms delay for explicit move","N/A","YES","no timer in reduced motion","mouse and pointer events","full cleanup YES","home-reviews.test.ts","SETTLED_BY_CONTRACT","Values and cleanup are correct; focus-out restart and live-region behavior need separate review."
"M022","/|/en","review card transition","src/styles/redesign/home.css","434-471","automatic or manual index change","5000ms plus manual","show carousel position","CSS transition","transform, opacity","240ms","ease","YES","1ms under reduced motion","NO","N/A","home-reviews.test.ts","REVIEW","Untokenized easing/duration; transform/opacity property choice is correct."
"M023","/|/en","review reduced-motion behavior","src/components/redesign/home/EnheRedesignExperienceReviews.tsx; src/styles/redesign/home.css","99-147; 202-229; 606-609","prefers-reduced-motion","preference","stop automatic motion and retain controls","matchMedia and CSS media query","timer disabled; transition near-instant","1ms","N/A","YES","YES","N/A","listener cleanup YES","home-reviews.test.ts","SETTLED_BY_CONTRACT","Do not re-enable automatic review motion in reduced mode."
"M024","/|/en","review pointer drag","src/components/redesign/home/EnheRedesignExperienceReviews.tsx","168-188","pointer drag and release","low","manual carousel navigation","pointer events and threshold","index changes only after release","instant then 240ms CSS settle","ease","PARTIAL","timer disabled in reduced mode","pointer event","listener cleanup YES","home-reviews.test.ts","REVIEW","35px threshold has no continuous position or velocity response."
"M025","/software|/en/software","category layer and mobile sheet","src/components/redesign/software/EnheRedesignSoftwareCategorySelector.tsx; src/styles/redesign/software.css","220-241; 78-93; 334-340","category trigger open or close","medium","show category choices and origin","hidden attribute and CSS","display/position","0ms","N/A","NO_EXIT_STATE","transition-none rule exists but no normal transition","NO","listener cleanup YES","software-catalog.test.ts; mobile-support-trigger.spec.ts","MISSING_MOTION","Approved 200ms category-layer token is declared but unused."
"M026","/software|/en/software","mobile category downward swipe","src/components/redesign/software/EnheRedesignSoftwareCategorySelector.tsx","242-254","touch start and release","low","dismiss bottom sheet","touch threshold","hidden after more than 48px","instant","N/A","NO","N/A","touch only","ref reset YES","software-catalog.test.ts","REVIEW","No continuous drag or velocity; preserve Escape/outside-click behavior."
"M027","/software|/en/software","category keyboard and server links","src/components/redesign/software/EnheRedesignSoftwareCategorySelector.tsx","161-217; 256-286","Arrow keys, Enter, Space, Escape","medium","select category and navigate","keyboard listener and native link","focus and route","instant","N/A","YES","N/A","N/A","listener cleanup YES","software-catalog.test.ts; software-production-wiring.test.tsx","SETTLED_BY_CONTRACT","Keyboard focus/activation remains instant; route animation is rejected."
"M028","/software|/en/software","software rail keyboard movement","src/components/redesign/software/EnheRedesignSoftwareRail.tsx","26-43","ArrowLeft or ArrowRight","medium","user-driven rail browsing","native scrollBy","scroll position","instant behavior:auto","N/A","YES","N/A","N/A","native","software-responsive.test.ts","SETTLED_BY_CONTRACT","Do not change to smooth or automatic scrolling."
"M029","/software|/en/software","mobile rail touch and snap","src/styles/redesign/software.css","342-359","touch or trackpad scroll","medium","user-driven product browsing","native overflow and scroll-snap","scroll position","direct manipulation","browser physics","YES","N/A","touch/trackpad","native","software-responsive.test.ts; R4 rail matrix","SETTLED_BY_CONTRACT","No timer or automatic movement; geometry is R4-locked."
"M030","/software|/en/software","server pagination","src/components/redesign/software/EnheRedesignSoftwareCatalog.tsx","176-196","click or Enter previous/next","low","load crawlable page","native links and server render","route navigation","instant","N/A","YES","page fade disabled in reduced mode","N/A","native","software-production-wiring.test.tsx","SETTLED_BY_CONTRACT","12-per-page and canonical/prev/next remain unchanged; page transition is rejected."
"M031","/software|/en/software","all-products server data rendering","src/components/redesign/software/EnheRedesignSoftwareCatalog.tsx","143-174","server render","reading","present 12 products per page","React server render","static content","instant","N/A","N/A","N/A","N/A","N/A","software-production-wiring.test.tsx","SETTLED_BY_CONTRACT","No hidden 9+3 production branch, stagger or data reveal."
"M032","public routes","header, CTA and control hover states","src/styles/redesign/shell.css; src/styles/redesign/home.css; src/styles/redesign/software.css","321-340; 245-269; 66-76","hover or press","high","pointer feedback","CSS state","color/background/border","0ms in redesign CSS","N/A","YES","header transitions disabled in reduced mode","hover only; no explicit pointer:fine source rule","N/A","public-shell-candidate.test.ts","REVIEW","Approved 170ms token has no consumer; broad animation would fail the frequency gate."
"M033","public routes","footer links and legal routes","src/styles/redesign/shell.css","611-619","hover, click or Enter","low","link affordance and navigation","native link and CSS","color","instant","N/A","YES","YES footer rule","hover only","native","public-shell-candidate.test.ts","KEEP","Legal navigation remains instant; only restrained color micro feedback is eligible."
"M034","all formal routes","support internal button transitions","src/components/customer-support-widget.tsx","208; 299; 330; 342; 357","hover, submit state","low","local control feedback","Tailwind transition","border/color/filter/opacity","Tailwind default","Tailwind default","YES","NO explicit support rule","hover only","state bounded","customer-support-widget-source.test.ts","REVIEW","Filter animation and independent defaults diverge from transform/opacity-only ENHE motion contract."
"M035","/|/en","review compositing hint","src/styles/redesign/home.css","449","render","always","performance preparation","CSS will-change","transform, opacity","persistent","N/A","N/A","persists under reduced motion","N/A","N/A","home-reviews.test.ts","REVIEW","All five cards retain layers even while paused, hidden or reduced-motion."
