"route_pattern","route_type","locale","source_file","indexability_intent","redirect_target","private_or_public","notes"
"/","page","zh","src/app/(zh-public)/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/","page","en","src/app/en/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/account-services","page","zh","src/app/(zh-public)/account-services/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/account-services","page","en","src/app/en/account-services/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/account-services/:slug","page","zh","src/app/(zh-public)/account-services/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/account-services/:slug","page","en","src/app/en/account-services/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/account-services/gemini-pro","redirect","neutral","next.config.ts","redirect","/account-services","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/admin","page","neutral","src/app/admin/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/ai-news","page","neutral","src/app/admin/ai-news/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/ai-news/:id","page","neutral","src/app/admin/ai-news/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/ai-news/import","page","neutral","src/app/admin/ai-news/import/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/ai-news/keywords","page","neutral","src/app/admin/ai-news/keywords/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/audit","page","neutral","src/app/admin/audit/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/categories","page","neutral","src/app/admin/categories/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/changelogs","page","neutral","src/app/admin/changelogs/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/changelogs/:id","page","neutral","src/app/admin/changelogs/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/comments","page","neutral","src/app/admin/comments/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/development","page","neutral","src/app/admin/development/page.tsx","noindex/private-intent","","private","not a public content surface"
