"route_or_url","source_file","locale","page_type","public_or_private","current_http_status","current_title","current_h1","canonical","hreflang_partner","in_sitemap","indexability","auth_required","current_role","proposed_action","proposed_target","reason","evidence","risk_level"
"https://www.enhe-tech.com.cn/","runtime sitemap","zh","home","public","200","恩禾 ENHE AI | AI工具、AI资讯、账号服务与技能课程","ENHE AI","https://www.enhe-tech.com.cn","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/","public content family","HTTP probe 2026-08-10; https://www.enhe-tech.com.cn/","P2"
"https://www.enhe-tech.com.cn/en","runtime sitemap","en","home","public","200","ENHE AI | AI Tools, AI News, Account Services and Skill Learning","ENHE AI","https://www.enhe-tech.com.cn/en","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en","public content family","HTTP probe 2026-08-10; https://www.enhe-tech.com.cn/en","P2"
"https://www.enhe-tech.com.cn/about","runtime sitemap","zh","about","public","200","恩禾ENHE AI 是什么？ | 恩禾 ENHE AI","恩禾ENHE AI 是什么？","https://www.enhe-tech.com.cn/about","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/about","public content family","HTTP probe 2026-08-10; https://www.enhe-tech.com.cn/about","P2"
"https://www.enhe-tech.com.cn/en/about","runtime sitemap","en","about","public","200","What is ENHE AI?","What is ENHE AI?","https://www.enhe-tech.com.cn/en/about","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en/about","public content family","HTTP probe 2026-08-10; https://www.enhe-tech.com.cn/en/about","P2"
"https://www.enhe-tech.com.cn/ai-topics","runtime sitemap","zh","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/ai-topics","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/en/ai-topics","runtime sitemap","en","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en/ai-topics","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/ai-topics/ai-content-creation-tools","runtime sitemap","zh","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/ai-topics/ai-content-creation-tools","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/en/ai-topics/ai-content-creation-tools","runtime sitemap","en","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en/ai-topics/ai-content-creation-tools","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/ai-topics/local-ai-deployment","runtime sitemap","zh","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/ai-topics/local-ai-deployment","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/en/ai-topics/local-ai-deployment","runtime sitemap","en","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en/ai-topics/local-ai-deployment","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/ai-topics/ai-account-service-compliance","runtime sitemap","zh","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/ai-topics/ai-account-service-compliance","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/en/ai-topics/ai-account-service-compliance","runtime sitemap","en","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en/ai-topics/ai-account-service-compliance","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/ai-topics/ai-skill-learning-path","runtime sitemap","zh","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/ai-topics/ai-skill-learning-path","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/en/ai-topics/ai-skill-learning-path","runtime sitemap","en","topic_landing","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en/ai-topics/ai-skill-learning-path","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/build-your-own-x","runtime sitemap","zh","public_page","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/build-your-own-x","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/en/build-your-own-x","runtime sitemap","en","public_page","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en/build-your-own-x","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/software","runtime sitemap","zh","software_listing","public","200","最热门AI工具、热门AI软件与高频效率产品 | 恩禾 ENHE AI","最热门AI工具","https://www.enhe-tech.com.cn/software","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/software","public content family","HTTP probe 2026-08-10; https://www.enhe-tech.com.cn/software","P2"
"https://www.enhe-tech.com.cn/en/software","runtime sitemap","en","software_listing","public","200","Most Popular AI Tools And Productivity Software | ENHE AI","Most Popular AI Tools","https://www.enhe-tech.com.cn/en/software","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en/software","public content family","HTTP probe 2026-08-10; https://www.enhe-tech.com.cn/en/software","P2"
"https://www.enhe-tech.com.cn/ai-skills","runtime sitemap","zh","public_page","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/ai-skills","public content family","sitemap.xml fetched 2026-08-10","P2"
"https://www.enhe-tech.com.cn/en/ai-skills","runtime sitemap","en","public_page","public","unknown","unknown","unknown","unknown","runtime alternates; inspect per URL","yes","indexable if 200+self-canonical","no","public","keep_and_upgrade","/en/ai-skills","public content family","sitemap.xml fetched 2026-08-10","P2"
